City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Salalah,17.0151,54.0924,73.49,60,0,5.75,OM,1635133092
Alihe,50.5667,123.7167,49.14,43,8,6.06,CN,1635133293
Egvekinot,66.3167,-179.1667,2.08,87,20,7.31,RU,1635133180
Vaini,-21.2,-175.2,78.96,78,20,4.61,TO,1635133059
Yellowknife,62.456,-114.3525,41.41,99,75,13.8,CA,1635133294
Anloga,5.7947,0.8973,79.02,84,10,8.43,GH,1635133294
Asău,46.4333,26.4,37.76,93,32,1.97,RO,1635133295
Bay Roberts,47.5999,-53.2648,53.44,89,99,13.0,CA,1635133295
Ayagoz,47.9714,80.4392,45.25,30,6,9.42,KZ,1635133064
Mana,5.6592,-53.7767,78.19,89,100,9.53,GF,1635133296
Port Elizabeth,-33.918,25.5701,52.09,93,0,5.75,ZA,1635133028
Punta Arenas,-53.15,-70.9167,33.91,93,90,13.8,CL,1635133296
New Norfolk,-42.7826,147.0587,56.66,59,84,1.99,AU,1635133297
Atuona,-9.8,-139.0333,78.26,71,5,18.48,PF,1635133297
Cherskiy,68.75,161.3,-10.86,96,50,3.0,RU,1635133100
Guerrero Negro,27.9769,-114.0611,65.3,77,0,11.81,MX,1635133033
Norman Wells,65.282,-126.8329,23.04,93,90,5.75,CA,1635133104
Dandong,40.1292,124.3947,59.05,59,50,10.27,CN,1635133230
Charlestown,-32.95,151.6667,82.22,53,5,1.99,AU,1635133022
Mataura,-46.1927,168.8643,67.69,67,95,5.17,NZ,1635133299
Emmett,43.8735,-116.4993,56.88,87,100,16.51,US,1635133299
Ngunguru,-35.6167,174.5,71.17,94,90,7.36,NZ,1635133300
Ahipara,-35.1667,173.1667,65.26,71,8,5.01,NZ,1635133300
Nanortalik,60.1432,-45.2371,32.63,77,94,2.95,GL,1635133077
Provideniya,64.3833,-173.3,24.91,58,0,8.95,RU,1635133095
Ushuaia,-54.8,-68.3,35.26,69,75,33.38,AR,1635133028
Statesboro,32.4488,-81.7832,68.49,88,40,0.0,US,1635133301
Kapaa,22.0752,-159.319,85.98,86,40,1.99,US,1635133302
Barrow,71.2906,-156.7887,26.62,86,90,6.91,US,1635133302
Khatanga,71.9667,102.5,1.63,90,100,15.35,RU,1635133303
Alenquer,-1.9417,-54.7383,77.34,75,80,2.15,BR,1635133303
Hobart,-42.8794,147.3294,57.02,74,75,3.0,AU,1635133271
Jamiltepec,16.2833,-97.8167,69.94,97,89,2.82,MX,1635133304
Port Alfred,-33.5906,26.891,58.01,76,0,10.63,ZA,1635133033
Chui,-33.6971,-53.4616,57.0,62,0,11.88,UY,1635133102
Lata,40.1629,-8.3327,57.81,83,6,2.82,PT,1635133131
Albany,42.6001,-73.9662,50.41,90,99,3.27,US,1635133305
Saskylakh,71.9167,114.0833,-15.21,100,51,2.82,RU,1635133306
Amapá,1.0,-52.0,71.74,99,52,2.1,BR,1635133306
Tornio,65.8481,24.1466,32.02,99,100,12.01,FI,1635133306
Aklavik,68.2191,-135.0107,22.03,96,100,1.14,CA,1635133307
Cabo San Lucas,22.8909,-109.9124,80.51,72,38,6.35,MX,1635133265
Barranca,-10.75,-77.7667,61.25,85,24,8.1,PE,1635133308
Bluff,-46.6,168.3333,56.71,85,100,14.92,NZ,1635133072
Ulaangom,49.9811,92.0667,41.67,47,4,2.46,MN,1635133308
Bucerías,20.75,-105.3333,78.1,89,93,4.34,MX,1635133254
Vallenar,-28.5708,-70.7581,63.7,53,0,3.29,CL,1635133309
Lavrentiya,65.5833,-171.0,21.7,79,100,9.93,RU,1635133309
Lüderitz,-26.6481,15.1594,58.37,72,0,9.8,NA,1635133113
Nizhniy Baskunchak,48.2198,46.8311,42.44,59,97,12.24,RU,1635133310
Inta,66.0317,60.1659,25.74,97,100,9.35,RU,1635133310
Torbay,47.6666,-52.7314,52.68,86,90,29.93,CA,1635133311
Pisco,-13.7,-76.2167,61.02,88,2,14.97,PE,1635132902
Plettenberg Bay,-34.0527,23.3716,53.67,74,0,2.28,ZA,1635133094
Butaritari,3.0707,172.7902,82.26,71,3,2.55,KI,1635133312
Meulaboh,4.1363,96.1285,83.1,69,89,2.93,ID,1635133312
Dmitriyevka,54.75,55.3333,31.55,85,100,2.93,RU,1635133313
Santa Josefa,7.9911,126.03,88.95,64,44,0.81,PH,1635133313
Fort Nelson,58.8053,-122.7002,26.19,93,1,2.3,CA,1635133314
Hermanus,-34.4187,19.2345,52.9,80,0,9.42,ZA,1635133315
Bathsheba,13.2167,-59.5167,81.21,78,40,26.46,BB,1635133151
Castro,-24.7911,-50.0119,55.17,97,94,7.58,BR,1635133079
Kuloy,61.0305,42.4925,25.0,86,14,6.87,RU,1635133315
Oliveira dos Brejinhos,-12.3169,-42.8961,70.27,95,100,4.97,BR,1635133316
Majene,-3.5403,118.9707,85.86,67,59,6.96,ID,1635133316
Qaanaaq,77.484,-69.3632,-4.77,58,0,11.12,GL,1635133317
Balkanabat,39.5108,54.3671,59.32,77,0,1.81,TM,1635133317
Bambous Virieux,-20.3428,57.7575,77.22,73,40,17.27,MU,1635133124
Zhoucheng,35.9122,116.3117,65.8,42,52,9.01,CN,1635133318
Busselton,-33.65,115.3333,60.04,70,77,14.25,AU,1635133318
East London,-33.0153,27.9116,59.94,77,20,6.91,ZA,1635133319
Maceió,-9.6658,-35.7353,76.44,94,20,4.61,BR,1635133319
Half Moon Bay,37.4636,-122.4286,60.35,95,90,1.99,US,1635133320
Avarua,-21.2078,-159.775,77.05,57,90,11.5,CK,1635133083
Severo-Kuril'sk,50.6789,156.125,39.9,64,92,14.14,RU,1635133072
